# Note: The order of the parameters dictates the order in which the OpenStudio measures are run.																											
location	ME_York	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Bennington	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_New_Haven	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Nantucket	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Hampden	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Oxford	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Rutland	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Bristol	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Washington	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Norfolk	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Carroll	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	RI_Newport	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Grafton	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	RI_Providence	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	RI_Kent	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	VT_Lamoille	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	CT_Hartford	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Waldo	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Dukes	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	RI_Bristol	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	MA_Franklin	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Lincoln	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	ME_Hancock	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
location	NH_Sullivan	ChangeBuildingLocation	weather_directory=../../../../weather	weather_file_name=USA_NY_White.Plains-Westchester.County.AP.725037_TMY3.epw	climate_zone=5A																						
costar_bldg_type	Flex_LightDistribution																										
costar_bldg_type	Flex_LightManufacturing																										
costar_bldg_type	Flex_R_D																										
costar_bldg_type	Flex_Showroom																										
costar_bldg_type	Flex_TelecomHotel_DataHosting																										
costar_bldg_type	HealthCare_AssistedLiving																										
costar_bldg_type	HealthCare_CongregateSeniorHousing																										
costar_bldg_type	HealthCare_ContinuingCareRetirementCommunity																										
costar_bldg_type	HealthCare_Hospital																										
costar_bldg_type	HealthCare_RehabilitationCenter																										
costar_bldg_type	HealthCare_SkilledNursingFacility																										
costar_bldg_type	Hospitality_Hotel																										
costar_bldg_type	Hospitality_HotelCasino																										
costar_bldg_type	Hospitality_Motel																										
costar_bldg_type	Hospitality_SingleRoomOccupancyHotel																										
costar_bldg_type	Industrial_Distribution																										
costar_bldg_type	Industrial_FoodProcessing																										
costar_bldg_type	Industrial_Manufacturing																										
costar_bldg_type	Industrial_Refrigeration_ColdStorage																										
costar_bldg_type	Industrial_Service																										
costar_bldg_type	Industrial_Showroom																										
costar_bldg_type	Industrial_TelecomHotel_DataHosting																										
costar_bldg_type	Industrial_TruckTerminal																										
costar_bldg_type	Industrial_Warehouse																										
costar_bldg_type	Land_Commercial																										
costar_bldg_type	Land_Industrial																										
costar_bldg_type	Multi_Family_Apartments																										
costar_bldg_type	Multi_Family_Dormitory																										
costar_bldg_type	Multi_Family_ManufacturedHousing_MobileHomePark																										
costar_bldg_type	Office_IndustrialLive_WorkUnit																										
costar_bldg_type	Office_Loft_CreativeSpace																										
costar_bldg_type	Office_Medical																										
costar_bldg_type	Office_OfficeLive_WorkUnit																										
costar_bldg_type	Office_Office_Residential																										
costar_bldg_type	Office_TelecomHotel_DataHosting																										
costar_bldg_type	Retail_AutoDealership																										
costar_bldg_type	Retail_AutoRepair																										
costar_bldg_type	Retail_Bank																										
costar_bldg_type	Retail_Bar																										
costar_bldg_type	Retail_BowlingAlley																										
costar_bldg_type	Retail_ConvenienceStore																										
costar_bldg_type	Retail_DayCareCenter																										
costar_bldg_type	Retail_DepartmentStore																										
costar_bldg_type	Retail_DrugStore																										
costar_bldg_type	Retail_FastFood																										
costar_bldg_type	Retail_Freestanding																										
costar_bldg_type	Retail_FuneralHome																										
costar_bldg_type	Retail_GardenCenter																										
costar_bldg_type	Retail_HealthClub																										
costar_bldg_type	Retail_MovieTheatre																										
costar_bldg_type	Retail_Restaurant																										
costar_bldg_type	Retail_ServiceStation																										
costar_bldg_type	Retail_Storefront																										
costar_bldg_type	Retail_StorefrontRetail_Office																										
costar_bldg_type	Retail_StorefrontRetail_Residential																										
costar_bldg_type	Retail_Supermarket																										
costar_bldg_type	Retail_TruckStop																										
costar_bldg_type	Retail_Veterinarian_Kennel																										
costar_bldg_type	Specialty_AirplaneHangar																										
costar_bldg_type	Specialty_Airport																										
costar_bldg_type	Specialty_AutoSalvageFacility																										
costar_bldg_type	Specialty_CarWash																										
costar_bldg_type	Specialty_Cement_GravelPlant																										
costar_bldg_type	Specialty_Cemetery_Mausoleum																										
costar_bldg_type	Specialty_Chemical_OilRefinery																										
costar_bldg_type	Specialty_ContractorStorageYard																										
costar_bldg_type	Specialty_CorrectionalFacility																										
costar_bldg_type	Specialty_Drive_inMovie																										
costar_bldg_type	Specialty_Landfill																										
costar_bldg_type	Specialty_Lodge_MeetingHall																										
costar_bldg_type	Specialty_Lumberyard																										
costar_bldg_type	Specialty_Marina																										
costar_bldg_type	Specialty_Movie_Radio_TVStudio																										
costar_bldg_type	Specialty_ParkingGarage																										
costar_bldg_type	Specialty_ParkingLot																										
costar_bldg_type	Specialty_Police_FireStation																										
costar_bldg_type	Specialty_PostOffice																										
costar_bldg_type	Specialty_PublicLibrary																										
costar_bldg_type	Specialty_Radio_TVTransmissionFacilities																										
costar_bldg_type	Specialty_RailroadYard																										
costar_bldg_type	Specialty_RecyclingCenter																										
costar_bldg_type	Specialty_ReligiousFacility																										
costar_bldg_type	Specialty_Schools																										
costar_bldg_type	Specialty_Self_Storage																										
costar_bldg_type	Specialty_Shelter																										
costar_bldg_type	Specialty_Shipyard																										
costar_bldg_type	Specialty_Sorority_FraternityHouse																										
costar_bldg_type	Specialty_Trailer_CamperPark																										
costar_bldg_type	Specialty_UtilitySub_Station																										
costar_bldg_type	Specialty_WaterRetentionFacility																										
costar_bldg_type	Specialty_WaterTreatmentFacility																										
costar_bldg_type	Specialty_Winery_Vineyard																										
costar_bldg_type	Sports_Entertainment_AmusementPark																										
costar_bldg_type	Sports_Entertainment_BaseballField																										
costar_bldg_type	Sports_Entertainment_Casino																										
costar_bldg_type	Sports_Entertainment_GolfCourse_DrivingRange																										
costar_bldg_type	Sports_Entertainment_HorseStables																										
costar_bldg_type	Sports_Entertainment_RaceTrack																										
costar_bldg_type	Sports_Entertainment_SkatingRink																										
costar_bldg_type	Sports_Entertainment_SwimmingPool																										
costar_bldg_type	Sports_Entertainment_Theater_ConcertHall																										
proto_bldg_type	full_service_restaurant	create_bar_from_building_type_ratios	bldg_type_a=FullServiceRestaurant	bldg_type_a_num_units=1	bldg_type_b=FullServiceRestaurant	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=FullServiceRestaurant	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=FullServiceRestaurant	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	hospital	create_bar_from_building_type_ratios	bldg_type_a=Hospital	bldg_type_a_num_units=1	bldg_type_b=Hospital	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=Hospital	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=Hospital	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	large_hotel	create_bar_from_building_type_ratios	bldg_type_a=LargeHotel	bldg_type_a_num_units=1	bldg_type_b=LargeHotel	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=LargeHotel	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=LargeHotel	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	midrise_apartment	create_bar_from_building_type_ratios	bldg_type_a=MidriseApartment	bldg_type_a_num_units=1	bldg_type_b=MidriseApartment	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=MidriseApartment	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=MidriseApartment	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	highrise_apartment	create_bar_from_building_type_ratios	bldg_type_a=HighriseApartment	bldg_type_a_num_units=1	bldg_type_b=HighriseApartment	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=HighriseApartment	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=HighriseApartment	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	outpatient	create_bar_from_building_type_ratios	bldg_type_a=Outpatient	bldg_type_a_num_units=1	bldg_type_b=Outpatient	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=Outpatient	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=Outpatient	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	primary_school	create_bar_from_building_type_ratios	bldg_type_a=PrimarySchool	bldg_type_a_num_units=1	bldg_type_b=PrimarySchool	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=PrimarySchool	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=PrimarySchool	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	quick_service_restaurant	create_bar_from_building_type_ratios	bldg_type_a=QuickServiceRestaurant	bldg_type_a_num_units=1	bldg_type_b=QuickServiceRestaurant	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=QuickServiceRestaurant	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=QuickServiceRestaurant	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	retail	create_bar_from_building_type_ratios	bldg_type_a=RetailStandalone	bldg_type_a_num_units=1	bldg_type_b=RetailStandalone	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=RetailStandalone	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=RetailStandalone	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	secondary_school	create_bar_from_building_type_ratios	bldg_type_a=SecondarySchool	bldg_type_a_num_units=1	bldg_type_b=SecondarySchool	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=SecondarySchool	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=SecondarySchool	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	small_hotel	create_bar_from_building_type_ratios	bldg_type_a=SmallHotel	bldg_type_a_num_units=1	bldg_type_b=SmallHotel	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=SmallHotel	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=SmallHotel	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	strip_mall	create_bar_from_building_type_ratios	bldg_type_a=RetailStripmall	bldg_type_a_num_units=1	bldg_type_b=RetailStripmall	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=RetailStripmall	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=RetailStripmall	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	super_market	create_bar_from_building_type_ratios	bldg_type_a=SuperMarket	bldg_type_a_num_units=1	bldg_type_b=SuperMarket	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=SuperMarket	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=SuperMarket	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
proto_bldg_type	warehouse	create_bar_from_building_type_ratios	bldg_type_a=Warehouse	bldg_type_a_num_units=1	bldg_type_b=Warehouse	bldg_type_b_fract_bldg_area=0	bldg_type_b_num_units=1	bldg_type_c=Warehouse	bldg_type_c_fract_bldg_area=0	bldg_type_c_num_units=1	bldg_type_d=Warehouse	bldg_type_d_fract_bldg_area=0	bldg_type_d_num_units=1	total_bldg_floor_area=5000	num_stories_below_grade=0	wwr=0.3	party_wall_fraction=0	story_multiplier=None	bar_division_method=Multiple Space Types - Individual Stories Sliced	party_wall_stories_north=0	party_wall_stories_south=0	party_wall_stories_east=0	party_wall_stories_west=0	bottom_story_ground_exposed_floor=true	top_story_exterior_exposed_roof=true	make_mid_story_surfaces_adiabatic=false	single_floor_area=0
